Pothole,Method, CN_A, CN_B, CN_C, CN_D,Infiltration,NSE,PBIAS,RSR,R2,
Cardinal,3,72,81,88,91,50,0.59762236,20.35419302,0.63218579,0.617243496,
Cardinal,3,72,81,88,91,55,0.58826302,32.61484846,0.63949588,0.635905789,
Cardinal,3,72,81,88,91,60,0.57403804,41.5159731,0.65044895,0.654133645,
Cardinal,3,72,81,88,91,65,0.55010491,49.13573325,0.66847233,0.662828989,
Cardinal,3,72,81,88,91,70,0.51943481,55.59474965,0.69088213,0.662409924,
Cardinal,3,72,81,88,91,75,0.4892982,60.94642935,0.71221564,0.661837377,
Hen,1,72,81,88,91,45,-0.21204318,-65.44988658,1.09727681,0.645545594,Hen
Hen,1,72,81,88,91,50,0.14297139,-39.0928193,0.92268788,0.663150963,Hen
Hen,1,72,81,88,91,55,0.35722963,-19.56518472,0.79907047,0.687905047,Hen
Hen,1,72,81,88,91,60,0.49976716,-3.05527971,0.70492555,0.698941721,Hen
Hen,1,72,81,88,91,65,0.57733923,9.95215517,0.64796736,0.699331269,Hen
Hen,1,72,81,88,91,70,0.60300989,21.57886463,0.62798171,0.686464231,Hen
Hen,1,72,81,88,91,75,0.60050256,31.30418815,0.62996172,0.668110418,Hen
Hen,1,72,81,88,91,80,0.56879424,39.9101314,0.6544846,0.639122887,Hen
Hen,1,72,81,88,91,85,0.54018085,45.92728956,0.67585057,0.618749731,Hen
Hen,1,72,81,88,91,90,0.50809616,51.1815225,0.69903233,0.598042226,Hen
Hen,1,72,81,88,91,95,0.46528876,56.05312365,0.72881418,0.569767077,Hen
Hen,2,72,81,88,91,30,0.57747606,5.73692109,0.64786246,0.711198582,Hen
Hen,2,72,81,88,91,35,0.61907459,27.98412701,0.61514448,0.684712605,Hen
Hen,2,72,81,88,91,40,0.56503093,43.5887099,0.65733437,0.637339873,Hen
Hen,2,72,81,88,91,45,0.48937255,54.28560932,0.71221191,0.587532785,Hen
Hen,2,72,81,88,91,50,0.40819869,62.31212433,0.7667347,0.534594024,Hen
Hen,2,72,81,88,91,55,0.36263401,67.52113257,0.7957041,0.511206724,Hen
Hen,3,72,81,88,91,45,-0.21204318,-65.44988658,1.09727681,0.645545594,Hen
Hen,3,72,81,88,91,50,0.14297139,-39.0928193,0.92268788,0.663150963,Hen
Hen,3,72,81,88,91,55,0.35722963,-19.56518472,0.79907047,0.687905047,Hen
Hen,3,72,81,88,91,60,0.49976716,-3.05527971,0.70492555,0.698941721,Hen
Hen,3,72,81,88,91,65,0.57733923,9.95215517,0.64796736,0.699331269,Hen
Hen,3,72,81,88,91,70,0.60300989,21.57886463,0.62798171,0.686464231,Hen
Hen,3,72,81,88,91,75,0.60050256,31.30418815,0.62996172,0.668110418,Hen
Hen,3,72,81,88,91,80,0.56879424,39.9101314,0.6544846,0.639122887,Hen
Hen,3,72,81,88,91,85,0.54018085,45.92728956,0.67585057,0.618749731,Hen
Hen,3,72,81,88,91,90,0.50809616,51.1815225,0.69903233,0.598042226,Hen
Hen,3,72,81,88,91,95,0.46528876,56.05312365,0.72881418,0.569767077,Hen
Mouth,1,72,81,88,91,65,-0.27172655,-72.83430032,1.12602413,0.491115898,
Mouth,1,72,81,88,91,70,-0.11245309,-54.62431629,1.05315352,0.477535121,
Mouth,1,72,81,88,91,75,0.14124627,-31.50077476,0.92530551,0.489082732,
Mouth,1,72,81,88,91,80,0.25027899,-16.84696848,0.86457101,0.492248146,
Mouth,1,72,81,88,91,85,0.31050221,-5.22020847,0.82911976,0.488915482,
Mouth,1,72,81,88,91,90,0.351721,4.568352,0.80395512,0.484476576,
Mouth,1,72,81,88,91,95,0.38217027,12.48681626,0.78484741,0.480606202,
