Month,Pothole,scen,avg.max,median.max
2,Cardinal,Drain1Retired,587.5559371,0
2,Cardinal,Drain1RetiredAll,0,0
2,Cardinal,Drain1RetiredCT,961.107104,0
2,Cardinal,Drain1RetiredNT,1411.048027,0
2,Cardinal,Drain2NT,1070.095432,0
2,Cardinal,Drain2Retired,222.6181059,0
2,Cardinal,Drain2RetiredAll,0,0
2,Cardinal,Drain2RetiredCT,454.4308237,0
2,Cardinal,Drain2RetiredNT,757.7360962,0
2,Cardinal,Drain3NT,405.2296434,0
2,Cardinal,Drain3Retired,155.4234226,0
2,Cardinal,Drain3RetiredAll,0,0
2,Cardinal,Drain3RetiredCT,156.6452572,0
2,Cardinal,Drain3RetiredNT,325.3299585,0
2,Cardinal,NoTillRetired,2517.720601,825.2835352
2,Cardinal,RetiredAll,432.307941,0
2,Cardinal,RetiredPothole,1538.915113,0
2,Hen,ConTillDrain01,485.0911684,0
2,Hen,ConTillDrain02,209.3151214,0
2,Hen,ConTillDrain03,14.15017346,0
2,Hen,ConTillRetired,1046.853619,0
2,Hen,Drain0,1038.428298,0
2,Hen,Drain01,476.3669863,0
2,Hen,Drain02,205.613213,0
2,Hen,Drain03,14.15017346,0
2,Hen,Drain0CT,1046.853619,0
2,Hen,Drain0NT,1106.469878,264.7041439
2,Hen,Drain1NT,554.1177075,0
2,Hen,Drain1Retired,474.8920848,0
2,Hen,Drain1RetiredAll,0,0
2,Hen,Drain1RetiredCT,485.0911684,0
2,Hen,Drain1RetiredNT,554.1177075,0
2,Hen,Drain2NT,240.8310955,0
2,Hen,Drain2Retired,203.6473378,0
2,Hen,Drain2RetiredAll,0,0
2,Hen,Drain2RetiredCT,209.3151214,0
2,Hen,Drain2RetiredNT,240.8310955,0
2,Hen,Drain3NT,20.36411547,0
2,Hen,Drain3Retired,14.15017346,0
2,Hen,Drain3RetiredAll,0,0
2,Hen,Drain3RetiredCT,14.15017346,0
2,Hen,Drain3RetiredNT,20.36411547,0
2,Hen,NoTillRetired,1106.469878,264.7041439
2,Hen,RetiredAll,0,0
2,Hen,RetiredPothole,1037.252732,0
2,Lettuce,ConTillDrain01,2506.152184,0
2,Lettuce,ConTillDrain02,1820.831441,0
2,Lettuce,ConTillDrain03,1269.404846,0
2,Lettuce,ConTillRetired,3170.260135,0
2,Lettuce,Drain0,3161.075728,0
2,Lettuce,Drain01,2081.126403,0
2,Lettuce,Drain02,1499.420102,0
2,Lettuce,Drain03,865.7088265,0
2,Lettuce,Drain0CT,3575.025205,746.0099429
2,Lettuce,Drain0NT,4055.938781,3508.190618
2,Lettuce,Drain1NT,2994.170318,0
2,Lettuce,Drain1Retired,1730.103684,0
2,Lettuce,Drain1RetiredAll,0,0
2,Lettuce,Drain1RetiredCT,2084.004119,0
2,Lettuce,Drain1RetiredNT,2483.614566,0
2,Lettuce,Drain2NT,2238.976933,0
2,Lettuce,Drain2Retired,1252.61168,0
2,Lettuce,Drain2RetiredAll,0,0
2,Lettuce,Drain2RetiredCT,1453.89544,0
2,Lettuce,Drain2RetiredNT,1773.525659,0
2,Lettuce,Drain3NT,1455.309325,0
