"","scen","range","pct","area.pct","Pothole"
"206","ConTillDrain01","six",0.48,0.6,"Bunny"
"207","ConTillDrain02","six",0.4,0.6,"Bunny"
"208","ConTillDrain03","six",0.36,0.6,"Bunny"
"209","ConTillRetired","six",0.48,0.6,"Bunny"
"210","CoverCrop","six",0.32,0.6,"Bunny"
"211","Drain0","six",0.56,0.6,"Bunny"
"212","Drain01","six",0.48,0.6,"Bunny"
"213","Drain02","six",0.48,0.6,"Bunny"
"214","Drain03","six",0.4,0.6,"Bunny"
"215","Drain0CT","six",0.52,0.6,"Bunny"
"216","Drain0NT","six",0.52,0.6,"Bunny"
"217","Drain1NT","six",0.44,0.6,"Bunny"
"218","Drain1Retired","six",0.48,0.6,"Bunny"
"219","Drain1RetiredAll","six",0.24,0.6,"Bunny"
"220","Drain1RetiredCT","six",0.48,0.6,"Bunny"
"221","Drain1RetiredNT","six",0.4,0.6,"Bunny"
"222","Drain2NT","six",0.36,0.6,"Bunny"
"223","Drain2Retired","six",0.44,0.6,"Bunny"
"224","Drain2RetiredAll","six",0.24,0.6,"Bunny"
"225","Drain2RetiredCT","six",0.36,0.6,"Bunny"
"226","Drain2RetiredNT","six",0.32,0.6,"Bunny"
"227","Drain3NT","six",0.32,0.6,"Bunny"
"228","Drain3Retired","six",0.4,0.6,"Bunny"
"229","Drain3RetiredAll","six",0.2,0.6,"Bunny"
"230","Drain3RetiredCT","six",0.36,0.6,"Bunny"
"231","Drain3RetiredNT","six",0.32,0.6,"Bunny"
"232","NoTillRetired","six",0.52,0.6,"Bunny"
"233","PlantDate01","six",0.4,0.6,"Bunny"
"234","PlantDate02","six",0.4,0.6,"Bunny"
"235","PlantDate03","six",0.36,0.6,"Bunny"
"236","PlantDate04","six",0.32,0.6,"Bunny"
"237","RetiredAll","six",0.24,0.6,"Bunny"
"238","RetiredPothole","six",0.52,0.6,"Bunny"
"239","Base","seven",0.2,0.7,"Bunny"
"240","ConTillDrain01","seven",0.36,0.7,"Bunny"
"241","ConTillDrain02","seven",0.24,0.7,"Bunny"
"242","ConTillDrain03","seven",0.2,0.7,"Bunny"
"243","ConTillRetired","seven",0.4,0.7,"Bunny"
