"","Year","Month","Pothole","variable","value"
"215",2011,11,"Bunny","Base",158.47
"216",2011,12,"Bunny","Base",0
"217",2012,1,"Bunny","Base",0
"218",2012,2,"Bunny","Base",0
"219",2012,3,"Bunny","Base",0
"220",2012,4,"Bunny","Base",2464.26
"221",2012,5,"Bunny","Base",0
"222",2012,6,"Bunny","Base",0
"223",2012,7,"Bunny","Base",0
"224",2012,8,"Bunny","Base",0
"225",2012,9,"Bunny","Base",0
"226",2012,10,"Bunny","Base",0
"227",2012,11,"Bunny","Base",0
"228",2012,12,"Bunny","Base",0
"229",2013,1,"Bunny","Base",0
"230",2013,2,"Bunny","Base",0
"231",2013,3,"Bunny","Base",0
"232",2013,4,"Bunny","Base",5695.72
"233",2013,5,"Bunny","Base",890.24
"234",2013,6,"Bunny","Base",0
"235",2013,7,"Bunny","Base",0
"236",2013,8,"Bunny","Base",0
"237",2013,9,"Bunny","Base",0
"238",2013,10,"Bunny","Base",0
"239",2013,11,"Bunny","Base",0
"240",2013,12,"Bunny","Base",0
"241",2014,1,"Bunny","Base",0
"242",2014,2,"Bunny","Base",0
"243",2014,3,"Bunny","Base",0
"244",2014,4,"Bunny","Base",2974.49
"245",2014,5,"Bunny","Base",0
"246",2014,6,"Bunny","Base",4293.05
"247",2014,7,"Bunny","Base",1725.38
"248",2014,8,"Bunny","Base",6069.15
"249",2014,9,"Bunny","Base",9967
"250",2014,10,"Bunny","Base",5712.46
"251",2014,11,"Bunny","Base",0
"252",2014,12,"Bunny","Base",0
"253",2015,1,"Bunny","Base",0
"254",2015,2,"Bunny","Base",0
"255",2015,3,"Bunny","Base",0
"256",2015,4,"Bunny","Base",241.66
"257",2015,5,"Bunny","Base",0
"258",2015,6,"Bunny","Base",5510.66
"259",2015,7,"Bunny","Base",9093.88
"260",2015,8,"Bunny","Base",26015.12
"261",2015,9,"Bunny","Base",3796.36
"262",2015,10,"Bunny","Base",0
"263",2015,11,"Bunny","Base",0
"264",2015,12,"Bunny","Base",21179.74
"265",2016,1,"Bunny","Base",0
"266",2016,2,"Bunny","Base",1168.07
"267",2016,3,"Bunny","Base",558.91
"268",2016,4,"Bunny","Base",0
"269",2016,5,"Bunny","Base",3073.52
"270",2016,6,"Bunny","Base",0
"271",2016,7,"Bunny","Base",2290.92
"272",2016,8,"Bunny","Base",20048.8
"273",2016,9,"Bunny","Base",23300.96
"274",2016,10,"Bunny","Base",0
"275",2016,11,"Bunny","Base",298.9
"276",2016,12,"Bunny","Base",0
"277",2017,1,"Bunny","Base",0
"278",2017,2,"Bunny","Base",0
"279",2017,3,"Bunny","Base",4110.83
"280",2017,4,"Bunny","Base",0
"281",2017,5,"Bunny","Base",7379.63
"282",2017,6,"Bunny","Base",0
"283",2017,7,"Bunny","Base",0
"284",2017,8,"Bunny","Base",0
"285",2017,9,"Bunny","Base",0
"286",2017,10,"Bunny","Base",4495.66
"287",2017,11,"Bunny","Base",0
"288",2017,12,"Bunny","Base",0
"289",2018,1,"Bunny","Base",0
"290",2018,2,"Bunny","Base",0
"291",2018,3,"Bunny","Base",0
"292",2018,4,"Bunny","Base",0
"293",2018,5,"Bunny","Base",5013.75
"294",2018,6,"Bunny","Base",10775.06
"295",2018,7,"Bunny","Base",11785.89
"296",2018,8,"Bunny","Base",343.31
"297",2018,9,"Bunny","Base",6233.5
"298",2018,10,"Bunny","Base",1298.71
"299",2018,11,"Bunny","Base",2365.82
"300",2018,12,"Bunny","Base",1855.11
"301",1994,1,"Walnut","Base",0
"302",1994,2,"Walnut","Base",124.62
"303",1994,3,"Walnut","Base",90.35
"304",1994,4,"Walnut","Base",0
"305",1994,5,"Walnut","Base",0
"306",1994,6,"Walnut","Base",1217.92
"307",1994,7,"Walnut","Base",0
"308",1994,8,"Walnut","Base",119.73
"309",1994,9,"Walnut","Base",50.47
"310",1994,10,"Walnut","Base",179.06
"311",1994,11,"Walnut","Base",0
"312",1994,12,"Walnut","Base",0
"313",1995,1,"Walnut","Base",0
"314",1995,2,"Walnut","Base",83.88
"315",1995,3,"Walnut","Base",394.73
"316",1995,4,"Walnut","Base",171.16
"317",1995,5,"Walnut","Base",390.81
"318",1995,6,"Walnut","Base",0
"319",1995,7,"Walnut","Base",0
"320",1995,8,"Walnut","Base",0
"321",1995,9,"Walnut","Base",0
"322",1995,10,"Walnut","Base",0
"323",1995,11,"Walnut","Base",0
"324",1995,12,"Walnut","Base",0
"325",1996,1,"Walnut","Base",0
"326",1996,2,"Walnut","Base",0
"327",1996,3,"Walnut","Base",0
